produto,sku,quantidade_vendida,faturamento_total,custo_total
Bússola de Bordo 7825,LHN-692923,725,1717662.749999998,1034734.4999999987
Colete Salva-Vidas 3392,LHN-165898,785,1440341.5500000005,966672.5499999996
Hélice de Alumínio 290,LHN-814367,560,1097062.4000000004,641558.4000000006
Tinta Antifouling 9136,LHN-408806,793,1712903.7900000024,1317617.0800000008
Cabo Náutico 7174,LHN-762559,727,1816365.8799999983,1270185.3199999996
Vela Mestra 500,LHN-743134,719,1784493.29,1372686.0400000003
Colete Salva-Vidas 326,LHN-499873,655,291134.4000000001,185437.05000000002
Cabo Náutico 9083,LHN-643594,658,942749.5,632719.6399999998
Motor de Popa 8491,LHN-038883,663,1548250.859999999,713480.8200000003
Bússola de Bordo 1248,LHN-477634,781,3189197.879999995,1548152.8700000003
Bússola de Bordo 5574,LHN-196330,737,75992.07000000007,47794.450000000004
Tinta Antifouling 6959,LHN-433136,676,1185670.2000000002,859182.4799999999
Colete Salva-Vidas 7573,LHN-678117,665,605023.6499999996,321820.10000000027
Âncora Bruce 1018,LHN-909874,776,1443561.7600000023,1009482.8800000018
Motor de Popa 6225,LHN-757386,704,2594535.6799999992,1358396.1600000008
Cabo Náutico 2300,LHN-200618,724,1584872.2000000007,1209825.7200000007
Bateria Náutica 8635,LHN-949615,556,1336245.9200000006,664798.0799999997
Vela Mestra 1741,LHN-320688,597,870617.04,558087.5400000005
Vela Mestra 8049,LHN-246918,745,2202361.549999998,1448920.7000000004
Cabo Náutico 9048,LHN-841359,741,2107744.859999999,1053872.4299999995
Defensa Náutica 3153,LHN-639263,804,2440244.5199999986,1196199.2400000005
Motor de Popa 1540,LHN-134809,712,747130.0800000001,447385.2
Bateria Náutica 4361,LHN-401037,590,677992.6000000002,461220.7000000001
Bússola de Bordo 2331,LHN-092886,629,1053178.7299999984,658235.9200000002
Hélice de Alumínio 3700,LHN-279958,770,2071923.700000002,1119957.2999999998
Bússola de Bordo 7024,LHN-122468,742,401822.67999999993,275222.64
Motor de Popa 8825,LHN-083783,715,2085154.5000000007,1248597.3499999996
Hélice de Alumínio 9238,LHN-062625,715,1520933.7,1020762.6000000008
Hélice de Alumínio 4633,LHN-483007,696,458483.03999999986,288352.8
Âncora Bruce 7692,LHN-334183,720,2803600.799999999,1387922.4000000001
Cabo Náutico 5471,LHN-790634,617,2318087.510000001,1176693.0399999993
Bateria Náutica 6140,LHN-952863,805,2444527.4000000004,1198298.8499999999
Sonar Transducer 7193,LHN-662962,722,1727139.5199999996,1143799.6199999999
Sonar Transducer 7919,LHN-065674,772,146811.23999999993,112071.23999999996
Bússola de Bordo 1900,LHN-117122,753,1751636.1300000001,1087972.0499999998
Motor de Popa 1279,LHN-862487,700,538775.9999999999,259027.99999999994
TBD,LHN-077096,783,1905078.1499999994,1070267.040000002
Âncora Bruce 9445,LHN-438749,752,202664.0,119214.55999999991
Cabo Náutico 1755,LHN-075276,755,1198094.4000000008,581599.1499999999
Vela Mestra 7742,LHN-220102,662,1883376.76,1007153.5600000017
Motor de Popa 2175,LHN-061300,650,525057.0000000003,270647.00000000006
Motor de Popa 7932,LHN-579323,641,2084980.7000000002,960820.5399999999
GPS Plotter 6626,LHN-058674,644,1618101.5199999989,801039.4000000001
